generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4870000,2,0.328293,-779.328,1.85265,0.425
4880000,3,1.74956,-771.525,2.26032,0.458636
4890000,4,1.10039,-763.233,2.62568,0.45775
4900000,2,0.133148,-769.887,1.32881,0.444
4910000,5,2.03215,-774.208,1.67962,0.45
4920000,3,1.77529,-781.243,0.895409,0.509
4930000,4,0.839034,-762.251,3.13732,0.4655
4940000,2,0.164172,-769.862,1.09493,0.446
4950000,2,1.12255,-772.522,1.66445,0.4475
4960000,4,-2.00616,-764.423,1.31166,0.456167
4970000,2,1.58298,-772.405,1.62961,0.454
4980000,3,2.89117,-777.637,1.44519,0.45775
4990000,2,1.30045,-770.711,0.872383,0.44
5000000,2,0.70881,-774.714,0.232271,0.457
5010000,2,-2.84734,-769.546,1.79562,0.461
5020000,1,2.43653,-784.683,1.14295,0.47
5030000,3,-3.23044,-770.824,4.50178,0.468
5040000,3,2.1684,-769.934,1.02824,0.467571
5050000,2,-2.57448,-781.605,1.71447,0.453333
5060000,2,-1.95271,-767.235,2.79893,0.443
5070000,1,-0.185038,-784.421,2.60552,0.409
5080000,4,-4.80469,-765.247,0.993115,0.488
5090000,4,4.49443,-765.031,1.68247,0.473167
5100000,5,5.37714,-781.73,1.18574,0.527
5110000,2,-1.80859,-772.132,0.631095,0.471
5120000,3,-0.0128505,-770.697,2.38208,0.427
5130000,2,2.63008,-775.871,2.52589,0.4745
5140000,2,1.84833,-770.014,2.7708,0.419
5150000,4,-3.37404,-769.852,6.52894,0.459
5160000,3,0.713066,-769.829,3.71756,0.449125
5170000,3,1.8805,-772.664,4.09123,0.424
5180000,3,-5.2505,-762.573,6.12589,0.4591
5190000,2,4.80601,-778.413,0.388086,0.443
5200000,3,0.915931,-766.883,2.23051,0.46
5210000,3,2.75056,-769.605,2.0363,0.4586
5220000,3,3.97077,-771.324,1.79716,0.4691
5230000,5,-1.95805,-767.544,4.58679,0.425
5240000,1,2.30447,-784.696,0.120399,0.456
5250000,2,4.52994,-776.843,0.825845,0.468
5260000,2,2.29886,-784.671,0.919124,0.46
5270000,2,-0.659231,-785.019,1.95063,0.416
5280000,3,0.938171,-768.781,1.19042,0.528
5290000,6,-5.21146,-764.617,3.4063,0.46
5300000,1,0.580008,-792.159,1.59079,0.480909
5310000,4,4.60044,-765.251,2.01635,0.461
5320000,2,1.36754,-769.763,2.14273,0.4495
5330000,2,0.124645,-771.42,0.995292,0.44
5340000,3,-0.102627,-771.279,2.839,0.449
5350000,3,-1.82054,-760.62,3.35825,0.478143
5360000,2,0.285654,-772.032,1.9926,0.441
5370000,3,0.400029,-772.074,3.21707,0.4724
5380000,3,0.299034,-763.744,1.2482,0.397
5390000,4,5.1044,-769.414,0.410231,0.48725
5400000,3,5.47193,-770.2,1.34111,0.471
5410000,3,-2.56535,-766.928,1.47892,0.463
5420000,4,0.513763,-768.627,3.04626,0.499
5430000,2,2.44073,-772.48,1.03021,0.406
