no,Species,Genera,Genera2,Habit,Habit2,Origin,Biogeo,Diet,Reproduction,Data
136,Opisthotropis_haihaensis,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan, ,Oviparous,GenBank
137,Opisthotropis_jacobi,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,earthworms,Oviparous,GenBank
138,Opisthotropis_kuatunensis,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,aquatic generalist,Oviparous,GenBank
139,Opisthotropis_lateralis_1,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,aquatic generalist,Oviparous,Current study
140,Opisthotropis_lateralis_2,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,aquatic generalist,Oviparous,GenBank
141,Opisthotropis_latouchii,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,earthworms,Oviparous,GenBank
142,Opisthotropis_laui,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan, ,Oviparous,GenBank
143,Opisthotropis_maculosa,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan, ,Oviparous,GenBank
144,Opisthotropis_maxwelli,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan, ,Oviparous,GenBank
145,Opisthotropis_shenzhenensis,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan, ,Oviparous,GenBank
146,Opisthotropis_typica,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,aquatic generalist,Oviparous,GenBank
147,Opisthotropis_voquyi,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan, ,Oviparous,Current study
148,Opisthotropis_zhaoermii,Opisthotropis,Opisthotropis,Aquatic,Aquatic Burrowing,Asian,Indomalayan,earthworms,Oviparous,GenBank
149,Paratapinophis_praemaxillaris,Paratapinophis,Paratapinophis,Aquatic,Aquatic,Asian,Indomalayan,fish,Oviparous,Current study
150,Regina_grahami,Regina,Regina,Aquatic,Aquatic,American,Nearctic,crayfish,Viviparous,GenBank
151,Regina_septemvittata,Regina,Regina,Aquatic,Aquatic,American,Nearctic,crayfish,Viviparous,GenBank
